,종목코드,종목명,fullCode
343,A006090,사조오양,KR7006090005
344,A006110,삼아알미늄,KR7006110001
345,A006120,SK디스커버리,KR7006120000
346,A006125,SK디스커버리우,KR7006121008
347,A006140,피제이전자,KR7006140008
348,A006200,한국전자홀딩스,KR7006200000
349,A006220,제주은행,KR7006220008
350,A006260,LS,KR7006260004
351,A006280,녹십자,KR7006280002
352,A006340,대원전선,KR7006340004
353,A006345,대원전선우,KR7006341002
354,A006360,GS건설,KR7006360002
355,A006370,대구백화점,KR7006370001
356,A006380,카프로,KR7006380000
357,A006390,한일현대시멘트,KR7006390009
358,A006400,삼성SDI,KR7006400006
359,A006405,삼성SDI우,KR7006401004
360,A006490,인스코비,KR7006490007
361,A006570,대림통상,KR7006570006
362,A006580,대양제지,KR7006580005
363,A006620,동구바이오제약,KR7006620009
364,A006650,대한유화,KR7006650006
365,A006660,삼성공조,KR7006660005
366,A006730,서부T&D,KR7006730006
367,A006740,영풍제지,KR7006740005
368,A006800,미래에셋증권,KR7006800007
369,A006805,미래에셋증권우,KR7006801005
370,A00680K,미래에셋증권2우B,KR700680K019
371,A006840,AK홀딩스,KR7006840003
372,A006880,신송홀딩스,KR7006880009
373,A006890,태경케미컬,KR7006890008
374,A006910,보성파워텍,KR7006910004
375,A006920,모헨즈,KR7006920003
376,A006980,우성,KR7006980007
377,A007070,GS리테일,KR7007070006
378,A007110,일신석재,KR7007110000
379,A007120,미래아이앤지,KR7007120009
380,A007160,사조산업,KR7007160005
381,A007210,벽산,KR7007210008
382,A007280,한국특강,KR7007280001
383,A007310,오뚜기,KR7007310006
384,A007330,푸른저축은행,KR7007330004
385,A007340,DN오토모티브,KR7007340003
386,A007370,진양제약,KR7007370000
387,A007390,네이처셀,KR7007390008
388,A007460,에이프로젠,KR7007460009
389,A007530,와이엠,KR7007530009
390,A007540,샘표,KR7007540008
391,A007570,일양약품,KR7007570005
392,A007575,일양약품우,KR7007571003
393,A007590,동방아그로,KR7007590003
394,A007610,선도전기,KR7007610009
395,A007660,이수페타시스,KR7007660004
396,A007680,대원,KR7007680002
397,A007690,국도화학,KR7007690001
398,A007700,F&F홀딩스,KR7007700008
399,A007720,대명소노시즌,KR7007720006
400,A007770,한일화학,KR7007770001
401,A007810,코리아써키트,KR7007810005
402,A007815,코리아써우,KR7007811003
403,A00781K,코리아써키트2우B,KR700781K015
404,A007820,에스엠코어,KR7007820004
405,A007860,서연,KR7007860000
406,A007980,태평양물산,KR7007980006
407,A008040,사조동아원,KR7008040008
408,A008060,대덕,KR7008060006
409,A00806K,대덕1우,KR700806K010
410,A008110,대동전자,KR7008110009
411,A008120,엠소닉,KR7008120008
412,A008250,이건산업,KR7008250003
413,A008260,NI스틸,KR7008260002
414,A008290,원풍물산,KR7008290009
415,A008340,대주코레스,KR7008340002
416,A008350,남선알미늄,KR7008350001
417,A008355,남선알미우,KR7008351009
418,A008370,원풍,KR7008370009
419,A008420,문배철강,KR7008420002
420,A008470,부스타,KR7008470007
421,A008490,서흥,KR7008490005
422,A008500,일정실업,KR7008500001
423,A008600,윌비스,KR7008600009
424,A008690,한양,KR7008690000
425,A008700,아남전자,KR7008700007
426,A008730,율촌화학,KR7008730004
427,A008770,호텔신라,KR7008770000
428,A008775,호텔신라우,KR7008771008
429,A008830,대동기어,KR7008830002
430,A008870,금비,KR7008870008
431,A008930,한미사이언스,KR7008930000
432,A008970,동양철관,KR7008970006
433,A009070,KCTC,KR7009070004
434,A009140,경인전자,KR7009140005
435,A009150,삼성전기,KR7009150004
436,A009155,삼성전기우,KR7009151002
437,A009160,SIMPAC,KR7009160003
438,A009180,한솔로지스틱스,KR7009180001
439,A009190,대양금속,KR7009190000
440,A009200,무림페이퍼,KR7009200007
441,A009240,한샘,KR7009240003
442,A009270,신원,KR7009270000
443,A009290,광동제약,KR7009290008
444,A009300,삼아제약,KR7009300005
445,A009310,참엔지니어링,KR7009310004
446,A009320,대우부품,KR7009320003
447,A009410,태영건설,KR7009410002
448,A009415,태영건설우,KR7009411000
449,A009420,한올바이오파마,KR7009420001
450,A009440,KC그린홀딩스,KR7009440009
451,A009450,경동나비엔,KR7009450008
452,A009460,한창제지,KR7009460007
